pmcid,model,system,ppa,mfr,coverage,n_ann,ann_kept,n_math,math_kept,ppa_ordered,mfr_ordered,judge,n_units,fresh_tok,completion_tok,cost_cny,wellformed
2003.06987,qwen-plus,contract,83.8,100.0,100.0,880,737,82,82,100.0,99.9,,141,21875,14522,0.0465,True
2003.06987,qwen-plus,naive,33.4,17.1,100.0,880,294,82,14,99.1,100.0,,141,18646,13133,0.0412,True
2003.11021,qwen-plus,contract,82.8,100.0,100.0,460,381,31,31,100.0,98.7,,97,19797,12184,0.0402,True
2003.11021,qwen-plus,naive,29.6,12.9,100.0,460,136,31,4,100.0,100.0,,97,18384,11720,0.0381,True
2011.05658,qwen-plus,contract,89.7,100.0,100.0,457,410,18,18,99.3,100.0,,114,18843,11926,0.0389,True
2011.05658,qwen-plus,naive,46.4,11.1,100.0,457,212,18,2,100.0,100.0,,114,18088,11354,0.0372,True
2503.15129,qwen-plus,contract,96.5,99.5,100.0,807,779,209,208,100.0,99.9,,96,19090,9929,0.0351,True
2503.15129,qwen-plus,naive,50.7,36.8,100.0,807,409,209,77,97.9,85.2,,96,16141,8589,0.0301,True
1905.07593,qwen-plus,contract,96.4,99.6,100.0,8610,8300,1750,1743,99.7,99.2,,954,162123,95706,0.3211,True
1905.07593,qwen-plus,naive,42.6,20.3,100.0,8610,3669,1750,356,97.0,91.4,,954,119076,74988,0.2452,True
