pmcid,model,system,ppa,mfr,coverage,n_ann,ann_kept,n_math,math_kept,ppa_ordered,mfr_ordered,judge,n_units,fresh_tok,completion_tok,cost_cny,wellformed
1707.07959,kimi-k2.5,contract,99.4,100.0,100.0,5487,5452,1203,1203,100.0,100.0,,200,33660,34720,0.0964,True
1707.07959,minimax-m2.5,contract,98.8,99.1,100.0,5487,5420,1203,1192,99.7,99.2,,200,46249,38353,0.1137,True
1707.08233,qwen3.7-plus-nothink,contract,99.0,99.9,100.0,4326,4284,1317,1316,100.0,100.0,,247,47914,27631,0.3095,True
1707.08233,qwen3-max-2026-01-23,contract,98.8,99.5,100.0,4326,4272,1317,1311,100.0,99.9,,247,47676,25839,0.3625,True
1707.08233,glm-4.7,contract,96.9,95.7,100.0,4326,4192,1317,1260,98.7,96.0,,247,46711,25402,0.0882,True
1707.08233,kimi-k2.5,contract,98.9,99.8,100.0,4326,4280,1317,1315,100.0,100.0,,247,36442,23650,0.0765,True
1707.08233,minimax-m2.5,contract,99.0,99.9,100.0,4326,4283,1317,1316,100.0,99.9,,247,46600,46521,0.1303,True
1707.08236,qwen3.7-plus-nothink,contract,99.9,100.0,100.0,5389,5382,1251,1251,100.0,99.9,,257,47729,27085,0.3057,True
1707.08236,qwen3-max-2026-01-23,contract,99.8,99.8,100.0,5389,5379,1251,1248,99.9,99.6,,257,47319,25485,0.3582,True
1707.08236,glm-4.7,contract,99.8,99.7,100.0,5389,5378,1251,1247,100.0,99.9,,257,46353,25107,0.0873,True
1707.08236,kimi-k2.5,contract,99.9,99.9,100.0,5389,5381,1251,1250,99.9,99.8,,257,35867,22395,0.0735,True
1707.08236,minimax-m2.5,contract,99.6,99.3,100.0,5389,5369,1251,1242,99.7,99.1,,257,45562,45328,0.1271,True
1708.06828,qwen3.7-plus-nothink,contract,88.8,100.0,100.0,447,397,56,56,99.0,99.4,,92,11232,7358,0.0778,True
1708.06828,qwen3-max-2026-01-23,contract,88.8,100.0,100.0,447,397,56,56,99.0,99.4,,92,11148,6862,0.0926,True
1708.06828,glm-4.7,contract,88.8,100.0,100.0,447,397,56,56,99.0,99.4,,92,10938,6960,0.0227,True
1708.06828,kimi-k2.5,contract,88.1,100.0,100.0,447,394,56,56,99.0,100.0,,92,9343,10788,0.0291,True
1708.06828,minimax-m2.5,contract,88.1,94.6,100.0,447,394,56,53,97.9,81.9,,92,10675,11355,0.0312,True
1708.08801,qwen3.7-plus-nothink,contract,96.3,99.6,100.0,701,675,257,256,99.9,99.7,,43,7284,5516,0.0549,True
1708.08801,qwen3-max-2026-01-23,contract,94.2,95.7,100.0,701,660,257,246,98.1,94.5,,43,7215,4932,0.0647,True
1708.08801,glm-4.7,contract,96.4,100.0,100.0,701,676,257,257,99.7,99.3,,43,7000,5270,0.0161,True
